genome,locus_tag,start,end,strand,type,gene_names
NC_000913.2,b0001,190,255,+,CDS,thrL;ECK0001;JW4367;NP_414542.1
NC_000913.2,b0002,337,2799,+,CDS,thrA;ECK0002;Hs;JW0001;thrA1;thrA2;thrD;NP_414543.1
NC_000913.2,b0003,2801,3733,+,CDS,thrB;ECK0003;JW0002;NP_414544.1
NC_000913.2,b0004,3734,5020,+,CDS,thrC;ECK0004;JW0003;NP_414545.1
NC_000913.2,b0005,5234,5530,+,CDS,yaaX;ECK0005;JW0004;NP_414546.1
NC_000913.2,b0006,5683,6459,-,CDS,yaaA;ECK0006;JW0005;NP_414547.1
NC_000913.2,b0007,6529,7959,-,CDS,yaaJ;ECK0007;JW0006;NP_414548.1
NC_000913.2,b0008,8238,9191,+,CDS,talB;ECK0008;JW0007;yaaK;NP_414549.1
NC_000913.2,b0009,9306,9893,+,CDS,mog;bisD;chlG;ECK0009;JW0008;mogA;yaaG;NP_414550.1
NC_000913.2,b0010,9928,10494,-,CDS,yaaH;ECK0010;JW0009;NP_414551.1
NC_000913.2,b0011,10643,11356,-,CDS,yaaW;ECK0011;htgA;htpY;JW0010;NP_414552.1
NC_000913.2,b0013,11382,11786,-,CDS,yaaI;ECK0013;JW0012;NP_414554.1
NC_000913.2,b0014,12163,14079,+,CDS,dnaK;ECK0014;groPAB;groPC;groPF;grpC;grpF;JW0013;seg;NP_414555.1
NC_000913.2,b0015,14168,15298,+,CDS,dnaJ;ECK0015;faa;groP;grpC;JW0014;NP_414556.1
NC_000913.2,b0016,15445,16557,+,CDS,insL1;ECK0016;NP_414557.1
NC_000913.2,b0018,16751,16960,-,CDS,mokC;ECK4466;gefL;NP_414559.1
NC_000913.2,b4412,16751,16903,-,CDS,hokC;ECK0018;gef;JW5879;YP_025292.1
NC_000913.2,b4413,16952,17006,+,antisense_RNA,sokC;ECK0019;JWR0224;sof
NC_000913.2,b0019,17489,18655,+,CDS,nhaA;ant;antA;ECK0020;JW0018;NP_414560.1
NC_000913.2,b0020,18715,19620,+,CDS,nhaR;antO;ECK0021;JW0019;yaaB;NP_414561.1
NC_000913.2,b0021,19811,20314,-,CDS,insB1;ECK0022;NP_414562.1
NC_000913.2,b0022,20233,20508,-,CDS,insA;ECK0023;NP_414563.1
NC_000913.2,b0023,20815,21078,-,CDS,rpsT;ECK0024;JW0022;sup;NP_414564.1
NC_000913.2,b0024,21181,21399,+,CDS,yaaY;ECK0025;JW5003;NP_414565.1
NC_000913.2,b0025,21407,22348,+,CDS,ribF;ECK0026;JW0023;yaaC;NP_414566.1
NC_000913.2,b0026,22391,25207,+,CDS,ileS;ECK0027;ilvS;JW0024;NP_414567.1
NC_000913.2,b0027,25207,25701,+,CDS,lspA;ECK0028;JW0025;NP_414568.1
